user_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,sessions,total_time_min,user_group,satisfaction_rating
user_00109,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,19,104.78,casual,
user_00110,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,8,184.27,professional,
user_00111,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,8,193.59,casual,
user_00112,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,19,158.59,disinterested,
user_00113,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,5,33.97,casual,
user_00114,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,11,107.11,disinterested,
user_00115,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,19,154.97,disinterested,
user_00116,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,2,47.13,disinterested,
user_00117,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,8,221.41,casual,
user_00118,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,5,93.23,casual,
user_00119,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,250.74,professional,
user_00120,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,3,220.18,casual,
user_00121,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,19.46,casual,
user_00122,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,3,269.0,casual,
user_00123,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,15,294.66,disinterested,
user_00124,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,15,11.93,professional,
user_00125,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,12,262.32,disinterested,
user_00126,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,14,241.37,casual,
user_00127,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,18,281.36,casual,
user_00128,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,14,61.87,professional,
user_00129,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,8,178.47,casual,
user_00130,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,15,140.13,professional,
user_00131,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,6,263.33,casual,
user_00132,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,13,271.64,casual,
user_00133,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,13,135.39,professional,
user_00134,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,16,61.15,casual,
user_00135,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,19,284.78,casual,
user_00136,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,244.89,casual,
user_00137,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,9,218.76,disinterested,
user_00138,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,110.26,disinterested,
user_00139,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,5,242.47,disinterested,
user_00140,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,10,20.3,casual,
user_00141,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,12,20.79,disinterested,
user_00142,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,239.84,professional,
user_00143,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,8,285.1,casual,
user_00144,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,16,260.02,casual,
user_00145,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,19,204.0,professional,
user_00146,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,18,71.2,professional,
user_00147,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,9,196.68,professional,
user_00148,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,9,64.91,casual,
user_00149,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,188.11,disinterested,
user_00150,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,8,32.23,casual,
user_00151,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,33.3,professional,
user_00152,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,12,237.81,casual,
user_00153,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,12,177.96,casual,
user_00154,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,9,212.39,casual,
user_00155,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,16,55.82,casual,
user_00156,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,2,217.84,casual,
user_00157,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,10,8.83,casual,
user_00158,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,10,183.93,professional,
user_00159,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,17.31,professional,
user_00160,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,4,158.35,professional,
user_00161,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,19,289.91,casual,
user_00162,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,5,287.01,casual,
user_00163,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,3,96.95,casual,
user_00164,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,5,85.96,disinterested,
user_00165,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,14,76.23,professional,
user_00166,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,11,287.59,professional,
user_00167,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,10,212.81,professional,
user_00168,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,13,262.4,professional,
user_00169,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,259.0,casual,
user_00170,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,18,279.21,casual,
user_00171,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,17,77.78,casual,
user_00172,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,12,50.34,professional,
user_00173,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,3,281.65,casual,
user_00174,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,13,72.08,casual,
user_00175,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,13,252.75,casual,
user_00176,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,6,13.44,casual,
user_00177,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,6,110.39,disinterested,
user_00178,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,164.4,disinterested,
user_00179,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,19,192.79,professional,
user_00180,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,11,140.14,professional,
user_00181,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,4,222.68,disinterested,
user_00182,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,5,91.08,casual,5.0
user_00183,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,28.59,casual,
user_00184,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,6,246.06,casual,
user_00185,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,19,182.44,casual,
user_00186,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,8,207.67,disinterested,
user_00187,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,5,189.98,professional,
user_00188,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,9,185.34,professional,
user_00189,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,9,65.89,casual,
user_00190,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,7,19.54,casual,
user_00191,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,9,296.13,professional,
user_00192,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,13,198.1,casual,2.0
user_00193,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,8,35.93,professional,
user_00194,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,17,240.72,professional,
user_00195,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,78.58,professional,
user_00196,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,7,217.44,professional,
user_00197,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,10,197.74,casual,
user_00198,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,187.99,professional,2.0
user_00199,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,16,217.59,disinterested,
user_00200,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,2,32.49,professional,
user_00201,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,17,214.15,disinterested,
user_00202,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,3,175.51,disinterested,
user_00203,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,4,137.77,disinterested,
user_00204,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,7,37.31,disinterested,
user_00205,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,10,84.46,professional,
user_00206,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,16,68.05,casual,
user_00207,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,77.87,casual,
user_00208,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,7,284.72,casual,
user_00209,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,18,152.02,casual,
user_00210,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,8,88.3,professional,
user_00211,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,6,182.63,casual,
user_00212,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,5,144.2,professional,
user_00213,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,12,19.14,casual,
user_00214,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,2,13.24,professional,
user_00215,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,6,249.91,disinterested,
user_00216,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,10,90.04,disinterested,
user_00217,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,10,189.3,casual,
user_00218,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,5,95.24,disinterested,
user_00219,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,41.92,casual,
user_00220,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,12,279.77,casual,
user_00221,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,9,81.73,professional,
user_00222,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,17,297.05,professional,
user_00223,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,15,233.66,professional,
user_00224,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,11,50.78,professional,
user_00225,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,116.26,professional,
user_00226,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,7,281.88,casual,
user_00227,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,5,71.49,casual,
user_00228,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,10,19.41,professional,
user_00229,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,4,54.16,professional,
user_00230,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,5,135.65,casual,
user_00231,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,6,165.72,casual,
user_00232,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,90.22,casual,
user_00233,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,16,258.61,disinterested,
user_00234,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,18,94.41,casual,
user_00235,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,16,260.02,professional,
user_00236,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,12,173.88,professional,
user_00237,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,14,171.1,casual,
user_00238,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,156.2,casual,
user_00239,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,6,225.59,casual,
user_00240,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,17,203.78,professional,
user_00241,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,160.36,professional,
user_00242,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,15,178.6,professional,
user_00243,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,11,227.93,casual,
user_00244,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,5,276.8,casual,
user_00245,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,12,212.3,professional,
user_00246,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,4,227.35,casual,
user_00247,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,5,192.36,casual,
user_00248,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,155.81,casual,
user_00249,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,17,147.09,casual,
user_00250,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,15,222.53,professional,
user_00251,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,10,252.34,casual,
user_00252,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,18,165.9,professional,
user_00253,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,8,259.31,disinterested,
user_00254,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,9,46.03,disinterested,
user_00255,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,17,294.65,professional,
user_00256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,157.54,disinterested,
user_00257,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,258.94,casual,
user_00258,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,16,94.49,professional,
user_00259,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,7,182.42,casual,
user_00260,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,4,210.68,casual,
user_00261,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,2,209.08,casual,
user_00262,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,15,173.07,professional,
user_00263,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,2,98.77,casual,
user_00264,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,14,227.9,casual,
user_00265,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,2,188.13,casual,
user_00266,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,6,267.98,casual,
user_00267,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,7,257.77,casual,
